customer_id,last_visit_date,country,device_type,traffic_source,sessions,pageviews,avg_session_duration_sec,bounce_rate,product_views,cart_additions,transactions,revenue_gbp,days_since_last_visit,email_clicks,support_visits,discount_usage_rate,returning_user,conversion_rate,cart_to_purchase_rate,pages_per_session,engagement_score,synthetic_ground_truth_segment,segment,segment_name
CUST-100000,2025-04-21,United Kingdom,Tablet,Paid Social,21,118,390.4,0.044,51,14,1,131.9,8,4,1,0.13,1,0.0476,0.0714,5.62,76.68,High Value Loyal,0,Product Researchers
CUST-100001,2025-04-01,India,Mobile,Direct,2,13,122.2,0.489,8,0,0,0.0,116,0,0,0.173,1,0.0,0.0,6.5,41.65,One-time Visitors,3,Engaged Non-Buyers
CUST-100002,2025-01-04,India,Mobile,Paid Social,15,87,324.7,0.216,44,1,1,69.51,53,3,0,0.619,1,0.0667,1.0,5.8,67.49,Product Researchers,4,Engaged Non-Buyers
CUST-100003,2025-06-12,United Kingdom,Desktop,Paid Search,2,17,115.4,0.816,7,0,0,0.0,120,0,0,0.455,0,0.0,0.0,8.5,37.52,One-time Visitors,1,Low Engagement / At-Risk Visitors
CUST-100004,2025-06-18,United Kingdom,Mobile,Organic Search,25,111,465.9,0.172,37,2,0,0.0,59,2,0,0.441,1,0.0,0.0,4.44,69.24,Engaged Non-Buyers,0,Product Researchers
CUST-100005,2025-03-14,Canada,Mobile,Paid Search,21,115,408.9,0.14,48,2,1,109.71,69,2,0,0.332,0,0.0476,0.5,5.48,73.82,Product Researchers,0,Product Researchers
CUST-100006,2025-04-16,United Kingdom,Mobile,Paid Search,20,119,448.8,0.16,57,3,0,0.0,45,1,1,0.577,1,0.0,0.0,5.95,79.58,Product Researchers,0,Product Researchers
CUST-100007,2025-02-19,United Kingdom,Desktop,Organic Search,35,184,450.6,0.33,64,13,6,572.25,9,3,0,0.489,1,0.1714,0.4615,5.26,75.39,High Value Loyal,2,High Value Loyal Customers
CUST-100008,2025-02-23,United Kingdom,Desktop,Referral,17,104,253.5,0.027,42,8,1,55.76,22,1,0,0.769,1,0.0588,0.125,6.12,69.04,Deal Seekers,4,Engaged Non-Buyers
CUST-100009,2025-05-27,Germany,Desktop,Direct,9,103,477.4,0.246,67,2,0,0.0,18,1,0,0.545,0,0.0,0.0,11.44,87.73,Product Researchers,0,Product Researchers
CUST-100010,2025-01-20,Australia,Mobile,Paid Search,5,18,124.6,0.651,3,0,0,0.0,127,0,0,0.214,0,0.0,0.0,3.6,27.12,One-time Visitors,3,Engaged Non-Buyers
CUST-100011,2025-02-18,India,Mobile,Organic Search,3,11,126.5,0.736,8,0,0,0.0,119,0,0,0.115,1,0.0,0.0,3.67,26.85,One-time Visitors,3,Engaged Non-Buyers
CUST-100012,2025-06-17,India,Desktop,Direct,19,107,326.7,0.43,48,2,0,0.0,14,5,0,0.17,0,0.0,0.0,5.63,62.94,Product Researchers,0,Product Researchers
CUST-100013,2025-05-20,United Kingdom,Desktop,Organic Search,35,164,576.1,0.073,64,20,5,648.18,4,1,0,0.219,1,0.1429,0.25,4.69,86.32,High Value Loyal,2,High Value Loyal Customers
CUST-100014,2025-03-11,Germany,Desktop,Referral,16,82,349.6,0.336,35,4,1,66.95,22,1,0,0.701,1,0.0625,0.25,5.12,60.87,Deal Seekers,4,Engaged Non-Buyers
CUST-100015,2025-04-27,United Kingdom,Mobile,Paid Search,18,105,393.4,0.346,49,5,0,0.0,50,1,0,0.367,1,0.0,0.0,5.83,69.33,Engaged Non-Buyers,0,Product Researchers
CUST-100016,2025-05-04,France,Desktop,Direct,18,101,346.4,0.149,35,7,4,218.06,5,5,0,0.785,0,0.2222,0.5714,5.61,66.91,Deal Seekers,4,Engaged Non-Buyers
CUST-100017,2025-02-14,United Kingdom,Mobile,Paid Social,15,96,423.4,0.349,48,0,0,0.0,16,0,1,0.367,1,0.0,0.0,6.4,72.21,Product Researchers,0,Product Researchers
CUST-100018,2025-03-04,United Kingdom,Mobile,Direct,15,96,432.5,0.27,45,2,0,0.0,6,1,1,0.281,1,0.0,0.0,6.4,73.73,Engaged Non-Buyers,0,Product Researchers
CUST-100019,2025-03-24,United States,Mobile,Direct,40,190,543.6,0.183,65,11,10,1001.37,1,0,3,0.096,1,0.25,0.9091,4.75,82.44,High Value Loyal,2,High Value Loyal Customers
CUST-100020,2025-01-05,United States,Tablet,Organic Search,3,10,87.0,0.61,3,1,1,43.08,105,0,0,0.287,0,0.3333,1.0,3.33,25.45,One-time Visitors,3,Engaged Non-Buyers
CUST-100021,2025-01-06,United Kingdom,Desktop,Organic Search,16,77,444.7,0.26,34,2,1,78.12,13,2,1,0.119,1,0.0625,0.5,4.81,66.24,Engaged Non-Buyers,0,Product Researchers
CUST-100022,2025-02-25,Germany,Mobile,Paid Search,14,83,363.6,0.098,45,8,4,179.55,17,0,0,0.951,1,0.2857,0.5,5.93,73.09,Deal Seekers,4,Engaged Non-Buyers
CUST-100023,2025-02-10,United Kingdom,Mobile,Paid Social,15,93,402.5,0.168,53,1,0,0.0,23,2,0,0.324,0,0.0,0.0,6.2,76.62,Product Researchers,0,Product Researchers
CUST-100024,2025-03-02,United States,Desktop,Direct,18,89,449.4,0.397,42,1,0,0.0,27,2,0,0.305,0,0.0,0.0,4.94,65.91,Engaged Non-Buyers,0,Product Researchers
CUST-100025,2025-04-19,United Kingdom,Mobile,Direct,30,167,577.8,0.044,71,10,5,364.47,8,4,1,0.226,1,0.1667,0.5,5.57,90.18,High Value Loyal,2,High Value Loyal Customers
CUST-100026,2025-04-17,France,Mobile,Referral,15,108,362.0,0.171,59,2,2,185.64,74,1,0,0.156,1,0.1333,1.0,7.2,79.47,Product Researchers,4,Engaged Non-Buyers
CUST-100027,2025-03-19,United Kingdom,Mobile,Paid Social,3,20,140.1,0.73,10,1,0,0.0,156,0,0,0.148,0,0.0,0.0,6.67,37.65,One-time Visitors,3,Engaged Non-Buyers
CUST-100028,2025-04-27,Germany,Mobile,Referral,4,19,62.6,0.884,10,0,0,0.0,151,0,0,0.14,0,0.0,0.0,4.75,23.94,One-time Visitors,3,Engaged Non-Buyers
CUST-100029,2025-04-29,Australia,Desktop,Organic Search,26,117,378.7,0.43,55,4,1,83.23,19,2,1,0.346,0,0.0385,0.25,4.5,64.16,Product Researchers,0,Product Researchers
CUST-100030,2025-02-03,United States,Mobile,Display,17,95,353.5,0.169,45,8,3,249.69,24,1,3,0.673,1,0.1765,0.375,5.59,69.75,Deal Seekers,4,Engaged Non-Buyers
CUST-100031,2025-01-16,United Kingdom,Desktop,Paid Social,18,115,360.3,0.389,52,4,1,70.63,55,3,0,0.383,0,0.0556,0.25,6.39,69.25,Product Researchers,0,Product Researchers
CUST-100032,2025-04-21,United States,Desktop,Direct,14,90,343.5,0.288,51,3,1,60.33,40,2,2,0.483,1,0.0714,0.3333,6.43,70.75,Product Researchers,0,Product Researchers
CUST-100033,2025-02-25,India,Mobile,Referral,17,123,512.2,0.262,62,1,0,0.0,74,2,0,0.385,1,0.0,0.0,7.24,85.76,Product Researchers,0,Product Researchers
CUST-100034,2025-05-07,United Kingdom,Mobile,Direct,18,114,480.3,0.116,60,3,1,99.97,44,2,0,0.286,0,0.0556,0.3333,6.33,84.36,Product Researchers,0,Product Researchers
CUST-100035,2025-06-21,India,Tablet,Organic Search,13,76,442.1,0.176,42,4,1,59.14,15,0,1,0.526,1,0.0769,0.25,5.85,73.9,Engaged Non-Buyers,0,Product Researchers
CUST-100036,2025-01-29,Germany,Tablet,Paid Social,9,31,103.2,0.724,2,0,0,0.0,179,0,0,0.181,1,0.0,0.0,3.44,23.44,One-time Visitors,3,Engaged Non-Buyers
CUST-100037,2025-05-04,France,Mobile,Direct,15,88,439.3,0.347,38,9,3,170.69,18,1,2,0.909,0,0.2,0.3333,5.87,68.32,Deal Seekers,4,Engaged Non-Buyers
CUST-100038,2025-04-11,France,Desktop,Organic Search,12,92,336.9,0.121,60,2,0,0.0,25,3,1,0.468,0,0.0,0.0,7.67,81.24,Product Researchers,0,Product Researchers
CUST-100039,2025-02-18,France,Mobile,Organic Search,22,114,266.1,0.186,43,4,3,241.53,34,2,0,0.746,1,0.1364,0.75,5.18,63.08,Deal Seekers,4,Engaged Non-Buyers
CUST-100040,2025-05-15,United States,Mobile,Direct,19,130,453.8,0.303,55,2,0,0.0,46,3,1,0.446,1,0.0,0.0,6.84,78.42,Product Researchers,0,Product Researchers
CUST-100041,2025-01-28,India,Desktop,Direct,16,95,259.7,0.238,44,6,4,174.73,16,3,2,0.9,1,0.25,0.6667,5.94,64.14,Deal Seekers,4,Engaged Non-Buyers
CUST-100042,2025-02-01,Canada,Desktop,Organic Search,2,13,41.2,0.706,8,0,0,0.0,172,1,0,0.091,0,0.0,0.0,6.5,32.18,One-time Visitors,3,Engaged Non-Buyers
CUST-100043,2025-06-29,United Kingdom,Tablet,Organic Search,16,104,490.6,0.398,60,1,0,0.0,29,1,0,0.795,1,0.0,0.0,6.5,78.35,Product Researchers,0,Product Researchers
CUST-100044,2025-05-24,United Kingdom,Desktop,Organic Search,19,115,406.5,0.129,63,1,0,0.0,50,0,1,0.469,1,0.0,0.0,6.05,80.41,Product Researchers,0,Product Researchers
CUST-100045,2025-03-20,United States,Mobile,Organic Search,2,14,77.2,0.519,8,0,0,0.0,105,0,0,0.126,0,0.0,0.0,7.0,40.22,One-time Visitors,1,Low Engagement / At-Risk Visitors
CUST-100046,2025-03-15,United States,Desktop,Organic Search,19,103,447.4,0.255,54,3,0,0.0,14,3,0,0.705,0,0.0,0.0,5.42,74.56,Product Researchers,0,Product Researchers
CUST-100047,2025-02-16,Canada,Desktop,Direct,17,101,504.8,0.399,38,3,0,0.0,27,3,1,0.298,1,0.0,0.0,5.94,70.51,Engaged Non-Buyers,0,Product Researchers
CUST-100048,2025-04-02,India,Desktop,Referral,18,95,361.4,0.434,39,7,1,59.71,19,0,1,0.867,1,0.0556,0.1429,5.28,60.71,Deal Seekers,4,Engaged Non-Buyers
CUST-100049,2025-02-17,Canada,Mobile,Paid Search,5,18,88.7,0.723,4,0,0,0.0,60,0,1,0.167,1,0.0,0.0,3.6,23.85,One-time Visitors,3,Engaged Non-Buyers
CUST-100050,2025-02-20,United Kingdom,Mobile,Email,9,88,352.4,0.44,51,1,1,78.37,23,1,1,0.214,1,0.1111,1.0,9.78,72.31,Product Researchers,4,Engaged Non-Buyers
CUST-100051,2025-03-11,Australia,Mobile,Referral,18,114,407.5,0.215,62,1,0,0.0,43,2,4,0.386,1,0.0,0.0,6.33,78.87,Product Researchers,0,Product Researchers
CUST-100052,2025-06-09,United Kingdom,Desktop,Organic Search,2,10,87.5,0.604,3,0,1,34.44,108,0,0,0.301,1,0.5,0.0,5.0,30.81,One-time Visitors,3,Engaged Non-Buyers
CUST-100053,2025-03-09,United Kingdom,Tablet,Direct,13,87,480.1,0.205,47,2,1,47.38,13,4,0,0.239,0,0.0769,0.5,6.69,79.25,Product Researchers,0,Product Researchers
CUST-100054,2025-02-10,United States,Desktop,Paid Social,14,104,424.7,0.249,50,1,0,0.0,69,3,1,0.168,1,0.0,0.0,7.43,78.6,Product Researchers,0,Product Researchers
CUST-100055,2025-05-12,United Kingdom,Mobile,Organic Search,26,149,397.7,0.297,68,12,5,322.59,4,4,0,0.351,1,0.1923,0.4167,5.73,75.37,High Value Loyal,2,High Value Loyal Customers
CUST-100056,2025-06-05,United Kingdom,Mobile,Email,29,144,451.6,0.287,69,12,5,615.48,1,3,4,0.408,1,0.1724,0.4167,4.97,75.92,High Value Loyal,2,High Value Loyal Customers
CUST-100057,2025-03-11,United Kingdom,Mobile,Organic Search,2,10,60.3,0.898,6,0,0,0.0,61,0,0,0.17,0,0.0,0.0,5.0,23.04,One-time Visitors,3,Engaged Non-Buyers
CUST-100058,2025-01-21,United Kingdom,Mobile,Organic Search,16,101,417.9,0.238,53,1,0,0.0,33,4,1,0.197,1,0.0,0.0,6.31,75.96,Product Researchers,0,Product Researchers
CUST-100059,2025-03-03,United Kingdom,Tablet,Paid Social,4,20,66.9,0.672,7,1,0,0.0,130,0,0,0.23,0,0.0,0.0,5.0,29.33,One-time Visitors,3,Engaged Non-Buyers
CUST-100060,2025-05-25,United Kingdom,Desktop,Organic Search,15,85,558.4,0.196,44,1,0,0.0,27,5,1,0.249,1,0.0,0.0,5.67,79.26,Engaged Non-Buyers,0,Product Researchers
CUST-100061,2025-05-02,France,Mobile,Organic Search,7,29,109.8,0.822,9,0,0,0.0,75,0,0,0.234,0,0.0,0.0,4.14,25.65,One-time Visitors,3,Engaged Non-Buyers
CUST-100062,2025-03-28,United Kingdom,Mobile,Direct,28,136,587.9,0.107,56,11,6,902.03,10,0,0,0.227,1,0.2143,0.5455,4.86,84.13,High Value Loyal,2,High Value Loyal Customers
CUST-100063,2025-03-04,United Kingdom,Mobile,Organic Search,8,53,399.8,0.091,38,5,2,106.62,9,0,2,0.823,1,0.25,0.4,6.62,75.12,Deal Seekers,4,Engaged Non-Buyers
CUST-100064,2025-02-21,United Kingdom,Desktop,Email,3,14,170.1,0.671,6,1,0,0.0,177,0,0,0.146,0,0.0,0.0,4.67,33.16,One-time Visitors,3,Engaged Non-Buyers
CUST-100065,2025-05-03,Canada,Tablet,Paid Social,15,94,342.0,0.402,50,7,0,0.0,42,4,0,0.947,1,0.0,0.0,6.27,67.01,Deal Seekers,4,Engaged Non-Buyers
CUST-100066,2025-05-05,United Kingdom,Mobile,Paid Social,17,84,697.8,0.438,40,2,1,56.32,50,2,0,0.036,1,0.0588,0.5,4.94,71.79,Engaged Non-Buyers,0,Product Researchers
CUST-100067,2025-01-19,Canada,Mobile,Direct,23,116,527.6,0.159,53,5,0,0.0,18,4,0,0.046,1,0.0,0.0,5.04,79.47,Engaged Non-Buyers,0,Product Researchers
CUST-100068,2025-01-17,United Kingdom,Mobile,Organic Search,14,76,672.8,0.252,46,2,1,38.14,10,3,0,0.265,1,0.0714,0.5,5.43,79.83,Engaged Non-Buyers,0,Product Researchers
CUST-100069,2025-04-23,United States,Tablet,Organic Search,16,126,446.3,0.4,65,0,1,66.79,62,1,0,0.263,0,0.0625,0.0,7.88,81.92,Product Researchers,0,Product Researchers
CUST-100070,2025-05-02,United Kingdom,Desktop,Display,13,110,444.7,0.139,50,0,0,0.0,39,1,1,0.307,1,0.0,0.0,8.46,84.15,Engaged Non-Buyers,0,Product Researchers
CUST-100071,2025-03-07,Canada,Mobile,Paid Social,27,160,366.4,0.211,68,6,5,465.33,11,0,0,0.406,1,0.1852,0.8333,5.93,76.56,High Value Loyal,2,High Value Loyal Customers
CUST-100072,2025-02-02,Germany,Mobile,Organic Search,14,100,255.9,0.125,52,6,3,88.98,23,4,0,0.225,1,0.2143,0.5,7.14,72.98,Deal Seekers,4,Engaged Non-Buyers
CUST-100073,2025-04-27,Germany,Tablet,Referral,15,100,399.1,0.164,50,4,0,0.0,26,3,1,0.188,1,0.0,0.0,6.67,77.07,Product Researchers,0,Product Researchers
